# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.92000E+00    0.23132E+03    0.24139E+03    0.54406E-01    0.61824E-01    0.28187E+00    0.23147E+00   -0.19401E-02    0.24472E-02   -0.10309E-01   -0.54641E-02
    0.93000E+00    0.23117E+03    0.24125E+03    0.54298E-01    0.61713E-01    0.28132E+00    0.23100E+00   -0.19393E-02    0.24440E-02   -0.10309E-01   -0.54644E-02
    0.94000E+00    0.23101E+03    0.24110E+03    0.54189E-01    0.61601E-01    0.28076E+00    0.23053E+00   -0.19384E-02    0.24409E-02   -0.10310E-01   -0.54647E-02
    0.95000E+00    0.23086E+03    0.24095E+03    0.54079E-01    0.61487E-01    0.28019E+00    0.23004E+00   -0.19375E-02    0.24376E-02   -0.10310E-01   -0.54650E-02
    0.96000E+00    0.23070E+03    0.24080E+03    0.53967E-01    0.61372E-01    0.27961E+00    0.22956E+00   -0.19366E-02    0.24344E-02   -0.10310E-01   -0.54653E-02
    0.97000E+00    0.23054E+03    0.24065E+03    0.53854E-01    0.61256E-01    0.27903E+00    0.22906E+00   -0.19357E-02    0.24312E-02   -0.10310E-01   -0.54656E-02
    0.98000E+00    0.23037E+03    0.24049E+03    0.53740E-01    0.61138E-01    0.27844E+00    0.22857E+00   -0.19348E-02    0.24279E-02   -0.10310E-01   -0.54659E-02
    0.99000E+00    0.23021E+03    0.24034E+03    0.53624E-01    0.61019E-01    0.27785E+00    0.22806E+00   -0.19338E-02    0.24245E-02   -0.10310E-01   -0.54662E-02
    0.10000E+01    0.23004E+03    0.24018E+03    0.53507E-01    0.60899E-01    0.27725E+00    0.22755E+00   -0.19329E-02    0.24212E-02   -0.10310E-01   -0.54665E-02
    0.10100E+01    0.22987E+03    0.24002E+03    0.53388E-01    0.60777E-01    0.27664E+00    0.22704E+00   -0.19319E-02    0.24178E-02   -0.10310E-01   -0.54669E-02
    0.10200E+01    0.22970E+03    0.23986E+03    0.53268E-01    0.60653E-01    0.27603E+00    0.22651E+00   -0.19310E-02    0.24144E-02   -0.10310E-01   -0.54672E-02
    0.10300E+01    0.22952E+03    0.23969E+03    0.53147E-01    0.60528E-01    0.27541E+00    0.22599E+00   -0.19300E-02    0.24110E-02   -0.10310E-01   -0.54675E-02
    0.10400E+01    0.22935E+03    0.23953E+03    0.53024E-01    0.60402E-01    0.27478E+00    0.22545E+00   -0.19290E-02    0.24075E-02   -0.10310E-01   -0.54679E-02
    0.10500E+01    0.22917E+03    0.23936E+03    0.52900E-01    0.60275E-01    0.27414E+00    0.22492E+00   -0.19280E-02    0.24040E-02   -0.10311E-01   -0.54682E-02
    0.10600E+01    0.22899E+03    0.23919E+03    0.52775E-01    0.60145E-01    0.27350E+00    0.22437E+00   -0.19270E-02    0.24005E-02   -0.10311E-01   -0.54685E-02
    0.10700E+01    0.22880E+03    0.23901E+03    0.52648E-01    0.60015E-01    0.27286E+00    0.22382E+00   -0.19260E-02    0.23969E-02   -0.10311E-01   -0.54689E-02
    0.10800E+01    0.22862E+03    0.23884E+03    0.52520E-01    0.59883E-01    0.27220E+00    0.22326E+00   -0.19249E-02    0.23933E-02   -0.10311E-01   -0.54692E-02
    0.10900E+01    0.22843E+03    0.23866E+03    0.52390E-01    0.59750E-01    0.27154E+00    0.22270E+00   -0.19239E-02    0.23897E-02   -0.10311E-01   -0.54696E-02
    0.11000E+01    0.22824E+03    0.23848E+03    0.52259E-01    0.59615E-01    0.27087E+00    0.22213E+00   -0.19228E-02    0.23861E-02   -0.10311E-01   -0.54699E-02
    0.11100E+01    0.22804E+03    0.23830E+03    0.52127E-01    0.59478E-01    0.27020E+00    0.22156E+00   -0.19218E-02    0.23824E-02   -0.10311E-01   -0.54703E-02
    0.11200E+01    0.22785E+03    0.23811E+03    0.51993E-01    0.59341E-01    0.26951E+00    0.22098E+00   -0.19207E-02    0.23787E-02   -0.10311E-01   -0.54706E-02
    0.11300E+01    0.22765E+03    0.23793E+03    0.51857E-01    0.59201E-01    0.26883E+00    0.22040E+00   -0.19196E-02    0.23750E-02   -0.10311E-01   -0.54710E-02
    0.11400E+01    0.22745E+03    0.23774E+03    0.51720E-01    0.59061E-01    0.26813E+00    0.21981E+00   -0.19185E-02    0.23713E-02   -0.10312E-01   -0.54713E-02
    0.11500E+01    0.22725E+03    0.23755E+03    0.51582E-01    0.58919E-01    0.26743E+00    0.21921E+00   -0.19174E-02    0.23675E-02   -0.10312E-01   -0.54717E-02
